Source,CH1,CH2
Second,Volt,Volt
-0.01849599928,0.84000,0.08000
-0.01849200018,0.86000,0.08800
-0.01848799922,0.86000,0.08800
-0.01848400012,0.86000,0.08000
-0.01847999915,0.86000,0.08800
-0.01847600006,0.86000,0.08000
-0.01847199909,0.86000,0.08000
-0.01846799999,0.88000,0.08000
-0.01846399903,0.88000,0.08000
-0.01845999993,0.88000,0.08000
-0.01845600083,0.88000,0.08000
-0.01845199987,0.86000,0.07200
-0.01844800077,0.86000,0.08000
-0.01844399981,0.86000,0.08000
-0.01844000071,0.86000,0.08000
-0.01843599975,0.86000,0.07200
-0.01843200065,0.86000,0.08000
-0.01842799969,0.86000,0.07200
-0.01842400059,0.86000,0.07200
-0.01841999963,0.86000,0.08000
-0.01841600053,0.86000,0.08000
-0.01841199957,0.88000,0.08000
-0.01840800047,0.88000,0.08000
-0.01840399951,0.88000,0.08000
-0.01840000041,0.88000,0.08000
-0.01839599945,0.88000,0.08800
-0.01839200035,0.88000,0.08800
-0.01838799939,0.88000,0.08800
-0.01838400029,0.88000,0.08800
-0.01837999932,0.90000,0.08800
-0.01837600023,0.90000,0.09600
-0.01837199926,0.90000,0.09600
-0.01836800016,0.88000,0.09600
-0.01836399920,0.90000,0.09600
-0.01836000010,0.90000,0.08800
-0.01835599914,0.90000,0.08800
-0.01835200004,0.92000,0.08800
-0.01834799908,0.92000,0.08800
-0.01834399998,0.92000,0.08800
-0.01834000088,0.92000,0.08800
-0.01833599992,0.92000,0.08800
-0.01833200082,0.92000,0.08800
-0.01832799986,0.92000,0.08000
-0.01832400076,0.92000,0.08800
-0.01831999980,0.90000,0.08000
-0.01831600070,0.92000,0.08800
-0.01831199974,0.92000,0.08800
-0.01830800064,0.92000,0.08800
-0.01830399968,0.92000,0.08000
-0.01830000058,0.92000,0.08000
-0.01829599962,0.92000,0.08800
-0.01829200052,0.92000,0.08800
-0.01828799956,0.92000,0.08800
-0.01828400046,0.92000,0.08800
-0.01827999949,0.94000,0.08800
-0.01827600040,0.94000,0.08800
-0.01827199943,0.94000,0.08800
-0.01826800033,0.94000,0.08800
-0.01826399937,0.92000,0.09600
-0.01826000027,0.94000,0.09600
-0.01825599931,0.94000,0.09600
-0.01825200021,0.94000,0.09600
-0.01824799925,0.94000,0.09600
-0.01824400015,0.94000,0.09600
-0.01823999919,0.96000,0.09600
-0.01823600009,0.96000,0.09600
-0.01823199913,0.96000,0.08800
-0.01822800003,0.96000,0.08800
-0.01822399907,0.98000,0.09600
-0.01821999997,0.98000,0.09600
-0.01821600087,0.96000,0.08800
-0.01821199991,0.96000,0.08800
-0.01820800081,0.96000,0.08800
-0.01820399985,0.96000,0.09600
-0.01820000075,0.96000,0.08800
-0.01819599979,0.96000,0.08800
-0.01819200069,0.96000,0.08800
-0.01818799973,0.98000,0.08800
-0.01818400063,0.98000,0.08800
-0.01817999966,0.96000,0.08800
-0.01817600057,0.96000,0.09600
-0.01817199960,0.98000,0.09600
-0.01816800050,0.98000,0.08800
-0.01816399954,0.96000,0.08800
-0.01816000044,0.98000,0.09600
-0.01815599948,0.98000,0.09600
-0.01815200038,0.98000,0.09600
-0.01814799942,0.98000,0.09600
-0.01814400032,0.98000,0.09600
-0.01813999936,0.98000,0.09600
-0.01813600026,1.00000,0.09600
-0.01813199930,1.00000,0.09600
-0.01812800020,1.00000,0.10400
-0.01812399924,1.00000,0.10400
-0.01812000014,1.00000,0.10400
-0.01811599918,1.00000,0.10400
-0.01811200008,1.00000,0.09600
-0.01810799912,1.00000,0.09600
-0.01810400002,1.00000,0.09600
-0.01809999906,1.00000,0.09600
-0.01809599996,1.00000,0.09600
-0.01809200086,1.02000,0.09600
-0.01808799990,1.02000,0.09600
-0.01808400080,1.02000,0.09600
-0.01807999983,1.02000,0.09600
-0.01807600074,1.02000,0.09600
-0.01807199977,1.02000,0.09600
-0.01806800067,1.02000,0.09600
-0.01806399971,1.02000,0.09600
-0.01806000061,1.02000,0.09600
-0.01805599965,1.02000,0.09600
-0.01805200055,1.02000,0.09600
-0.01804799959,1.02000,0.09600
-0.01804400049,1.02000,0.09600
-0.01803999953,1.02000,0.09600
-0.01803600043,1.02000,0.09600
-0.01803199947,1.02000,0.09600
-0.01802800037,1.02000,0.09600
-0.01802399941,1.02000,0.09600
-0.01802000031,1.02000,0.09600
-0.01801599935,1.04000,0.10400
-0.01801200025,1.04000,0.09600
-0.01800799929,1.04000,0.09600
-0.01800400019,1.04000,0.10400
-0.01799999923,1.04000,0.10400
-0.01799600013,1.04000,0.10400
-0.01799199916,1.04000,0.10400
-0.01798800007,1.04000,0.10400
-0.01798399910,1.04000,0.10400
-0.01798000000,1.06000,0.10400
-0.01797599904,1.06000,0.10400
-0.01797199994,1.06000,0.10400
-0.01796800084,1.06000,0.10400
-0.01796399988,1.06000,0.09600
-0.01796000078,1.04000,0.09600
-0.01795599982,1.06000,0.10400
-0.01795200072,1.06000,0.10400
-0.01794799976,1.06000,0.10400
-0.01794400066,1.06000,0.10400
-0.01793999970,1.06000,0.10400
-0.01793600060,1.06000,0.10400
-0.01793199964,1.06000,0.10400
-0.01792800054,1.06000,0.10400
-0.01792399958,1.06000,0.10400
-0.01792000048,1.06000,0.10400
-0.01791599952,1.06000,0.10400
-0.01791200042,1.06000,0.10400
-0.01790799946,1.08000,0.10400
-0.01790400036,1.08000,0.10400
-0.01789999940,1.08000,0.10400
-0.01789600030,1.08000,0.10400
-0.01789199933,1.08000,0.10400
-0.01788800023,1.08000,0.11200
-0.01788399927,1.08000,0.10400
-0.01788000017,1.08000,0.10400
-0.01787599921,1.08000,0.10400
-0.01787200011,1.08000,0.10400
-0.01786799915,1.10000,0.11200
-0.01786400005,1.10000,0.11200
-0.01785999909,1.10000,0.11200
-0.01785599999,1.10000,0.11200
-0.01785199903,1.10000,0.11200
-0.01784799993,1.10000,0.11200
-0.01784400083,1.10000,0.11200
-0.01783999987,1.12000,0.11200
-0.01783600077,1.12000,0.10400
-0.01783199981,1.10000,0.11200
-0.01782800071,1.10000,0.11200
-0.01782399975,1.10000,0.11200
-0.01782000065,1.10000,0.10400
-0.01781599969,1.10000,0.11200
-0.01781200059,1.10000,0.11200
-0.01780799963,1.12000,0.11200
-0.01780400053,1.12000,0.11200
-0.01779999956,1.10000,0.11200
-0.01779600047,1.12000,0.12000
-0.01779199950,1.12000,0.11200
-0.01778800040,1.12000,0.12000
-0.01778399944,1.10000,0.11200
-0.01778000034,1.12000,0.12000
-0.01777599938,1.12000,0.12000
-0.01777200028,1.12000,0.12000
-0.01776799932,1.12000,0.12000
-0.01776400022,1.12000,0.12000
-0.01775999926,1.12000,0.12000
-0.01775600016,1.12000,0.12000
-0.01775199920,1.12000,0.12000
-0.01774800010,1.14000,0.12000
-0.01774399914,1.14000,0.13600
-0.01774000004,1.14000,0.13600
-0.01773599908,1.14000,0.12000
-0.01773199998,1.14000,0.13600
-0.01772800088,1.16000,0.12000
-0.01772399992,1.16000,0.12000
-0.01772000082,1.16000,0.13600
-0.01771599986,1.16000,0.13600
-0.01771200076,1.16000,0.12000
-0.01770799980,1.16000,0.12000
-0.01770400070,1.16000,0.13600
-0.01769999973,1.16000,0.12000
-0.01769600064,1.16000,0.12000
-0.01769199967,1.16000,0.12000
-0.01768800057,1.16000,0.13600
-0.01768399961,1.16000,0.13600
-0.01768000051,1.16000,0.13600
-0.01767599955,1.16000,0.13600
-0.01767200045,1.16000,0.12000
-0.01766799949,1.16000,0.13600
-0.01766400039,1.16000,0.13600
-0.01765999943,1.16000,0.13600
-0.01765600033,1.16000,0.13600
-0.01765199937,1.16000,0.13600
-0.01764800027,1.16000,0.13600
-0.01764399931,1.16000,0.13600
-0.01764000021,1.16000,0.13600
-0.01763599925,1.18000,0.13600
-0.01763200015,1.18000,0.14400
-0.01762799919,1.18000,0.13600
